SalesOrderID,OrderDate,DueDate,ShipDate,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,CustomerID,SalesPersonID,TerritoryID,CreditCardID,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue
43671,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43671,PO13978119376,29890,283,1,13693,25904Vi70960,8128.7876,780.8136,244.0042,9153.6054
43672,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43672,PO13862153537,30067,282,6,3980,95915Vi20982,6124.182,587.6023,183.6257,6895.41
43673,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43673,PO13775141242,29844,275,2,1417,35931Vi7271,3746.2015,357.9614,111.8629,4216.0258
43674,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43674,PO12760141756,29596,282,6,19204,26081Vi99806,2624.382,251.9407,78.7315,2955.0542
43675,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43675,PO12412186464,29827,277,3,11886,126121Vi61402,5716.3102,546.8759,170.8987,6434.0848
43676,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43676,PO11861165059,29811,275,5,18153,36168Vi94127,14203.458,1363.266,426.0206,15992.7446
43677,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43677,PO11049174786,29824,278,6,14030,16302Vi72763,7793.1108,747.1011,233.4691,8773.681
43678,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43678,PO10817150168,29889,281,4,5093,66363Vi26658,9799.9243,942.074,294.3981,11036.3964
43679,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43679,PO10527142759,29761,278,6,5439,126365Vi28482,1316.0575,125.8032,39.3135,1481.1742
43680,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43680,PO10730130087,29489,281,4,6653,126370Vi34642,11397.4992,1093.6394,341.7623,12832.9009
43681,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43681,PO1189177803,29661,279,5,5301,16608Vi27707,13787.5434,1323.0668,413.4584,15524.0686
43682,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43682,PO1566124200,29759,275,2,76,96712Vi373,3875.7229,371.8002,116.1876,4363.7107
43683,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43683,PO2552113807,29497,283,1,13045,76866Vi67506,42813.4333,4107.1489,1283.484,48204.0662
43684,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43684,PO3393188842,29912,279,5,267,37982Vi1394,5596.4705,537.2612,167.8941,6301.6258
43685,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43685,PO4176124783,30084,279,5,2519,108058Vi13146,2736.5678,263.201,82.2503,3082.0191
43686,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43686,PO5075125561,29606,283,1,14612,48152Vi75759,3463.2998,332.4768,103.899,3899.6756
43687,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43687,PO4959110829,29610,275,2,3235,128163Vi17021,1258.3767,120.8042,37.7513,1416.9322
43688,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43688,PO5365136389,29718,275,2,12399,88200Vi64099,12718.0844,1222.8838,382.1512,14323.1194
43689,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43689,PO5626159507,29646,277,4,13054,98228Vi67566,33997.3702,3271.4942,1022.3419,38291.2063
43690,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43690,PO6235146326,29533,275,3,2337,28321Vi12181,1297.5901,124.2027,38.8133,1460.6061
43691,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43691,PO6409111675,29570,277,4,242,28360Vi1235,874.794,83.9802,26.2438,985.018
43692,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43692,PO7859187017,29992,281,4,7176,108529Vi37251,38510.8973,3696.3979,1155.1244,43362.4196
43693,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43693,PO8120182325,29491,275,5,8937,128548Vi46064,20541.4072,1969.5564,615.4864,23126.45
43694,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43694,PO9657130250,29549,279,5,7083,118748Vi36747,20645.634,1978.3257,618.2268,23242.1865
43695,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43695,PO10179176559,29958,279,5,10163,128786Vi52413,39373.781,3787.4632,1183.5823,44344.8265
43696,01 Jul 05,13 Jul 05,08 Jul 05,0,SO43696,PO9947131800,29849,279,5,1402,98787Vi7192,419.4589,40.2681,12.5838,472.3108
43697,01 Jul 05,13 Jul 05,08 Jul 05,1,SO43697,NULL,21768,NULL,6,4319,530200Vi22686,3578.27,286.2616,89.4568,3953.9884
43698,01 Jul 05,13 Jul 05,08 Jul 05,1,SO43698,NULL,28389,NULL,7,16625,1231736Vi86048,3399.99,271.9992,84.9998,3756.989
43699,01 Jul 05,13 Jul 05,08 Jul 05,1,SO43699,NULL,25863,NULL,1,5796,333376Vi30244,3399.99,271.9992,84.9998,3756.989
43700,01 Jul 05,13 Jul 05,08 Jul 05,1,SO43700,NULL,14501,NULL,4,12860,733791Vi66509,699.0982,55.9279,17.4775,772.5036
43701,01 Jul 05,13 Jul 05,08 Jul 05,1,SO43701,NULL,11003,NULL,9,11150,335093Vi57504,3399.99,271.9992,84.9998,3756.989
43702,02 Jul 05,14 Jul 05,09 Jul 05,1,SO43702,NULL,27645,NULL,4,8087,1230194Vi41919,3578.27,286.2616,89.4568,3953.9884
43703,02 Jul 05,14 Jul 05,09 Jul 05,1,SO43703,NULL,16624,NULL,9,9497,1234632Vi48985,3578.27,286.2616,89.4568,3953.9884
43704,02 Jul 05,14 Jul 05,09 Jul 05,1,SO43704,NULL,11005,NULL,9,1988,835095Vi10342,3374.99,269.9992,84.3748,3729.364
43705,02 Jul 05,14 Jul 05,09 Jul 05,1,SO43705,NULL,11011,NULL,9,7205,1035101Vi37381,3399.99,271.9992,84.9998,3756.989
43706,03 Jul 05,15 Jul 05,10 Jul 05,1,SO43706,NULL,27621,NULL,4,10912,230189Vi56258,3578.27,286.2616,89.4568,3953.9884
43707,03 Jul 05,15 Jul 05,10 Jul 05,1,SO43707,NULL,27616,NULL,4,19069,230298Vi99064,3578.27,286.2616,89.4568,3953.9884
43708,03 Jul 05,15 Jul 05,10 Jul 05,1,SO43708,NULL,20042,NULL,10,4369,130402Vi22912,699.0982,55.9279,17.4775,772.5036
43709,03 Jul 05,15 Jul 05,10 Jul 05,1,SO43709,NULL,16351,NULL,9,15524,1034602Vi80214,3578.27,286.2616,89.4568,3953.9884
43710,03 Jul 05,15 Jul 05,10 Jul 05,1,SO43710,NULL,16517,NULL,9,5764,1134614Vi30135,3578.27,286.2616,89.4568,3953.9884
43711,04 Jul 05,16 Jul 05,11 Jul 05,1,SO43711,NULL,27606,NULL,1,3043,430293Vi16007,3578.27,286.2616,89.4568,3953.9884
43712,04 Jul 05,16 Jul 05,11 Jul 05,1,SO43712,NULL,13513,NULL,8,6213,1231128Vi32292,3578.27,286.2616,89.4568,3953.9884
43713,05 Jul 05,17 Jul 05,12 Jul 05,1,SO43713,NULL,27601,NULL,4,16570,830288Vi85808,3578.27,286.2616,89.4568,3953.9884
43714,05 Jul 05,17 Jul 05,12 Jul 05,1,SO43714,NULL,13591,NULL,10,15963,1031124Vi82522,3578.27,286.2616,89.4568,3953.9884
43715,05 Jul 05,17 Jul 05,12 Jul 05,1,SO43715,NULL,16483,NULL,9,7985,1134605Vi41375,3578.27,286.2616,89.4568,3953.9884
43716,05 Jul 05,17 Jul 05,12 Jul 05,1,SO43716,NULL,16529,NULL,9,5873,534626Vi30635,3578.27,286.2616,89.4568,3953.9884
43717,05 Jul 05,17 Jul 05,12 Jul 05,1,SO43717,NULL,25249,NULL,9,5700,1235425Vi29858,699.0982,55.9279,17.4775,772.5036
43718,06 Jul 05,18 Jul 05,13 Jul 05,1,SO43718,NULL,27668,NULL,1,3049,530203Vi16052,3578.27,286.2616,89.4568,3953.9884
43719,06 Jul 05,18 Jul 05,13 Jul 05,1,SO43719,NULL,27612,NULL,4,5998,1130295Vi31203,3578.27,286.2616,89.4568,3953.9884
43720,06 Jul 05,18 Jul 05,13 Jul 05,1,SO43720,NULL,13264,NULL,8,2765,831105Vi14399,3578.27,286.2616,89.4568,3953.9884
43721,06 Jul 05,18 Jul 05,13 Jul 05,1,SO43721,NULL,13590,NULL,10,11950,331111Vi61776,3578.27,286.2616,89.4568,3953.9884
43722,07 Jul 05,19 Jul 05,14 Jul 05,1,SO43722,NULL,13581,NULL,10,12191,331099Vi63048,3578.27,286.2616,89.4568,3953.9884
43723,07 Jul 05,19 Jul 05,14 Jul 05,1,SO43723,NULL,14520,NULL,1,16949,833793Vi87871,699.0982,55.9279,17.4775,772.5036
43724,07 Jul 05,19 Jul 05,14 Jul 05,1,SO43724,NULL,16520,NULL,9,6336,834617Vi32891,3578.27,286.2616,89.4568,3953.9884
43725,08 Jul 05,20 Jul 05,15 Jul 05,1,SO43725,NULL,13258,NULL,8,6640,832136Vi34578,3578.27,286.2616,89.4568,3953.9884
43726,08 Jul 05,20 Jul 05,15 Jul 05,1,SO43726,NULL,14560,NULL,4,8533,533796Vi44130,699.0982,55.9279,17.4775,772.5036
43727,08 Jul 05,20 Jul 05,15 Jul 05,1,SO43727,NULL,16607,NULL,9,11407,834627Vi58835,3578.27,286.2616,89.4568,3953.9884
43728,09 Jul 05,21 Jul 05,16 Jul 05,1,SO43728,NULL,27666,NULL,4,15630,130201Vi80748,3578.27,286.2616,89.4568,3953.9884
43729,09 Jul 05,21 Jul 05,16 Jul 05,1,SO43729,NULL,11238,NULL,10,2636,831735Vi13701,3399.99,271.9992,84.9998,3756.989
43730,09 Jul 05,21 Jul 05,16 Jul 05,1,SO43730,NULL,25861,NULL,4,13323,333375Vi69103,3399.99,271.9992,84.9998,3756.989
43731,09 Jul 05,21 Jul 05,16 Jul 05,1,SO43731,NULL,16629,NULL,9,14302,834633Vi74142,3578.27,286.2616,89.4568,3953.9884
43732,09 Jul 05,21 Jul 05,16 Jul 05,1,SO43732,NULL,11025,NULL,9,10882,1235104Vi56140,3374.99,269.9992,84.3748,3729.364
43733,09 Jul 05,21 Jul 05,16 Jul 05,1,SO43733,NULL,27577,NULL,1,10600,135716Vi54667,3578.27,286.2616,89.4568,3953.9884
43734,10 Jul 05,22 Jul 05,17 Jul 05,1,SO43734,NULL,27604,NULL,1,15365,330290Vi79368,3578.27,286.2616,89.4568,3953.9884
43735,10 Jul 05,22 Jul 05,17 Jul 05,1,SO43735,NULL,16522,NULL,9,6526,1034619Vi33896,3578.27,286.2616,89.4568,3953.9884
43736,10 Jul 05,22 Jul 05,17 Jul 05,1,SO43736,NULL,11002,NULL,9,1416,1135092Vi7270,3399.99,271.9992,84.9998,3756.989
43737,11 Jul 05,23 Jul 05,18 Jul 05,1,SO43737,NULL,13261,NULL,8,NULL,NULL,3578.27,286.2616,89.4568,3953.9884
43738,11 Jul 05,23 Jul 05,18 Jul 05,1,SO43738,NULL,11606,NULL,7,12005,631125Vi62053,3578.27,286.2616,89.4568,3953.9884
43739,11 Jul 05,23 Jul 05,18 Jul 05,1,SO43739,NULL,13563,NULL,10,NULL,NULL,3578.27,286.2616,89.4568,3953.9884
43740,11 Jul 05,23 Jul 05,18 Jul 05,1,SO43740,NULL,16527,NULL,9,18137,834624Vi94036,3578.27,286.2616,89.4568,3953.9884
43741,12 Jul 05,24 Jul 05,19 Jul 05,1,SO43741,NULL,27671,NULL,1,4679,530206Vi24524,3578.27,286.2616,89.4568,3953.9884
43742,12 Jul 05,24 Jul 05,19 Jul 05,1,SO43742,NULL,13576,NULL,10,17254,932138Vi89574,3578.27,286.2616,89.4568,3953.9884
43743,12 Jul 05,24 Jul 05,19 Jul 05,1,SO43743,NULL,11007,NULL,9,1546,1235097Vi7903,3399.99,271.9992,84.9998,3756.989
43744,12 Jul 05,24 Jul 05,19 Jul 05,1,SO43744,NULL,16631,NULL,9,12980,635648Vi67147,3578.27,286.2616,89.4568,3953.9884
43745,13 Jul 05,25 Jul 05,20 Jul 05,1,SO43745,NULL,16514,NULL,9,9626,634611Vi49589,3578.27,286.2616,89.4568,3953.9884
43746,13 Jul 05,25 Jul 05,20 Jul 05,1,SO43746,NULL,16616,NULL,9,5138,434629Vi26884,3578.27,286.2616,89.4568,3953.9884
43747,14 Jul 05,26 Jul 05,21 Jul 05,1,SO43747,NULL,27623,NULL,4,16044,1230190Vi82952,3578.27,286.2616,89.4568,3953.9884
43748,14 Jul 05,26 Jul 05,21 Jul 05,1,SO43748,NULL,27625,NULL,1,14948,430191Vi77442,3578.27,286.2616,89.4568,3953.9884
43749,14 Jul 05,26 Jul 05,21 Jul 05,1,SO43749,NULL,27636,NULL,1,12504,130192Vi64692,3578.27,286.2616,89.4568,3953.9884
43750,14 Jul 05,26 Jul 05,21 Jul 05,1,SO43750,NULL,11591,NULL,7,15541,1131100Vi80273,3578.27,286.2616,89.4568,3953.9884
43751,14 Jul 05,26 Jul 05,21 Jul 05,1,SO43751,NULL,11592,NULL,7,711,331101Vi3645,3578.27,286.2616,89.4568,3953.9884
43752,14 Jul 05,26 Jul 05,21 Jul 05,1,SO43752,NULL,13265,NULL,8,2736,731107Vi14233,3578.27,286.2616,89.4568,3953.9884
43753,14 Jul 05,26 Jul 05,21 Jul 05,1,SO43753,NULL,16482,NULL,9,7588,734604Vi39312,3578.27,286.2616,89.4568,3953.9884
43754,15 Jul 05,27 Jul 05,22 Jul 05,1,SO43754,NULL,27617,NULL,1,9734,630188Vi50171,3578.27,286.2616,89.4568,3953.9884
43755,15 Jul 05,27 Jul 05,22 Jul 05,1,SO43755,NULL,27670,NULL,4,14614,1030205Vi75785,3578.27,286.2616,89.4568,3953.9884
43756,15 Jul 05,27 Jul 05,22 Jul 05,1,SO43756,NULL,19941,NULL,10,9528,830399Vi49119,699.0982,55.9279,17.4775,772.5036
43757,15 Jul 05,27 Jul 05,22 Jul 05,1,SO43757,NULL,11017,NULL,9,12801,635102Vi66203,3374.99,269.9992,84.3748,3729.364
43758,16 Jul 05,28 Jul 05,23 Jul 05,1,SO43758,NULL,27646,NULL,4,17093,1230195Vi88773,3578.27,286.2616,89.4568,3953.9884
43759,16 Jul 05,28 Jul 05,23 Jul 05,1,SO43759,NULL,13257,NULL,8,11314,132135Vi58334,3578.27,286.2616,89.4568,3953.9884
43760,16 Jul 05,28 Jul 05,23 Jul 05,1,SO43760,NULL,16352,NULL,9,7485,234603Vi38778,3578.27,286.2616,89.4568,3953.9884
43761,16 Jul 05,28 Jul 05,23 Jul 05,1,SO43761,NULL,16493,NULL,9,11678,434607Vi60395,3578.27,286.2616,89.4568,3953.9884
43762,17 Jul 05,29 Jul 05,24 Jul 05,1,SO43762,NULL,27578,NULL,4,4503,930287Vi23588,3578.27,286.2616,89.4568,3953.9884
43763,17 Jul 05,29 Jul 05,24 Jul 05,1,SO43763,NULL,16525,NULL,9,17110,934622Vi88860,3578.27,286.2616,89.4568,3953.9884
43764,17 Jul 05,29 Jul 05,24 Jul 05,1,SO43764,NULL,16612,NULL,9,10644,334628Vi54854,3578.27,286.2616,89.4568,3953.9884
43765,17 Jul 05,29 Jul 05,24 Jul 05,1,SO43765,NULL,11010,NULL,9,10245,535100Vi52885,3399.99,271.9992,84.9998,3756.989
43766,18 Jul 05,30 Jul 05,25 Jul 05,1,SO43766,NULL,16518,NULL,9,10469,834615Vi53986,3578.27,286.2616,89.4568,3953.9884
43767,18 Jul 05,30 Jul 05,25 Jul 05,1,SO43767,NULL,11001,NULL,9,8810,235091Vi45462,3374.99,269.9992,84.3748,3729.364
43768,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43768,NULL,27649,NULL,1,18040,830196Vi93642,3578.27,286.2616,89.4568,3953.9884
43769,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43769,NULL,21659,NULL,6,7388,1030286Vi38309,3578.27,286.2616,89.4568,3953.9884
43770,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43770,NULL,27614,NULL,1,16136,230296Vi83473,3578.27,286.2616,89.4568,3953.9884
43771,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43771,NULL,14559,NULL,4,16934,633795Vi87782,699.0982,55.9279,17.4775,772.5036
43772,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43772,NULL,16524,NULL,9,12834,334621Vi66368,3578.27,286.2616,89.4568,3953.9884
43773,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43773,NULL,16526,NULL,9,19057,534623Vi99022,3578.27,286.2616,89.4568,3953.9884
43774,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43774,NULL,16348,NULL,9,1311,434719Vi6675,3578.27,286.2616,89.4568,3953.9884
43775,19 Jul 05,31 Jul 05,26 Jul 05,1,SO43775,NULL,11027,NULL,9,6918,535106Vi36020,3399.99,271.9992,84.9998,3756.989
43776,20 Jul 05,01 Aug 05,27 Jul 05,1,SO43776,NULL,13260,NULL,8,10653,1231103Vi54892,3578.27,286.2616,89.4568,3953.9884
43777,20 Jul 05,01 Aug 05,27 Jul 05,1,SO43777,NULL,16515,NULL,9,1850,734612Vi9613,3578.27,286.2616,89.4568,3953.9884
43778,20 Jul 05,01 Aug 05,27 Jul 05,1,SO43778,NULL,11018,NULL,9,9930,735103Vi51096,3399.99,271.9992,84.9998,3756.989
43779,20 Jul 05,01 Aug 05,27 Jul 05,1,SO43779,NULL,25252,NULL,9,6901,235427Vi35948,699.0982,55.9279,17.4775,772.5036
43780,21 Jul 05,02 Aug 05,28 Jul 05,1,SO43780,NULL,11599,NULL,7,17097,131108Vi88806,3578.27,286.2616,89.4568,3953.9884
43781,21 Jul 05,02 Aug 05,28 Jul 05,1,SO43781,NULL,16495,NULL,9,5269,634609Vi27549,3578.27,286.2616,89.4568,3953.9884
43782,21 Jul 05,02 Aug 05,28 Jul 05,1,SO43782,NULL,16516,NULL,9,9916,1034613Vi51017,3578.27,286.2616,89.4568,3953.9884
43783,21 Jul 05,02 Aug 05,28 Jul 05,1,SO43783,NULL,16620,NULL,9,4651,934630Vi24399,3578.27,286.2616,89.4568,3953.9884
43784,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43784,NULL,27667,NULL,4,15794,1030202Vi81657,3578.27,286.2616,89.4568,3953.9884
43785,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43785,NULL,11601,NULL,7,3584,931114Vi18886,3578.27,286.2616,89.4568,3953.9884
43786,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43786,NULL,11607,NULL,7,12315,931126Vi63695,3578.27,286.2616,89.4568,3953.9884
43787,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43787,NULL,29385,NULL,8,NULL,NULL,3399.99,271.9992,84.9998,3756.989
43788,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43788,NULL,11239,NULL,10,2999,431737Vi15728,3374.99,269.9992,84.3748,3729.364
43789,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43789,NULL,25865,NULL,1,13143,133257Vi68106,3374.99,269.9992,84.3748,3729.364
43790,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43790,NULL,25857,NULL,1,2574,733374Vi13410,3399.99,271.9992,84.9998,3756.989
43791,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43791,NULL,16484,NULL,9,2480,534606Vi12914,3578.27,286.2616,89.4568,3953.9884
43792,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43792,NULL,16623,NULL,9,3696,334631Vi19512,3578.27,286.2616,89.4568,3953.9884
43793,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43793,NULL,11000,NULL,9,11981,735090Vi61907,3399.99,271.9992,84.9998,3756.989
43794,22 Jul 05,03 Aug 05,29 Jul 05,1,SO43794,NULL,11029,NULL,9,103,735108Vi576,3399.99,271.9992,84.9998,3756.989
43795,23 Jul 05,04 Aug 05,30 Jul 05,1,SO43795,NULL,27615,NULL,4,10180,330297Vi52533,3578.27,286.2616,89.4568,3953.9884
43796,23 Jul 05,04 Aug 05,30 Jul 05,1,SO43796,NULL,17956,NULL,7,14408,630398Vi74678,699.0982,55.9279,17.4775,772.5036
43797,23 Jul 05,04 Aug 05,30 Jul 05,1,SO43797,NULL,16345,NULL,9,3803,533967Vi20009,3578.27,286.2616,89.4568,3953.9884
43798,23 Jul 05,04 Aug 05,30 Jul 05,1,SO43798,NULL,16521,NULL,9,15729,434618Vi81298,3578.27,286.2616,89.4568,3953.9884
43799,23 Jul 05,04 Aug 05,30 Jul 05,1,SO43799,NULL,16636,NULL,9,10936,534635Vi56412,3578.27,286.2616,89.4568,3953.9884
43800,24 Jul 05,05 Aug 05,31 Jul 05,1,SO43800,NULL,21710,NULL,6,1500,830289Vi7733,3578.27,286.2616,89.4568,3953.9884
43801,24 Jul 05,05 Aug 05,31 Jul 05,1,SO43801,NULL,13583,NULL,10,10067,331102Vi51847,3578.27,286.2616,89.4568,3953.9884
43802,24 Jul 05,05 Aug 05,31 Jul 05,1,SO43802,NULL,11593,NULL,7,15557,531106Vi80372,3578.27,286.2616,89.4568,3953.9884
43803,25 Jul 05,06 Aug 05,01 Aug 05,1,SO43803,NULL,21741,NULL,6,2467,1230187Vi12850,3578.27,286.2616,89.4568,3953.9884
43804,25 Jul 05,06 Aug 05,01 Aug 05,1,SO43804,NULL,13585,NULL,10,13404,731109Vi69430,3578.27,286.2616,89.4568,3953.9884
43805,25 Jul 05,06 Aug 05,01 Aug 05,1,SO43805,NULL,14510,NULL,1,7010,433792Vi36450,699.0982,55.9279,17.4775,772.5036
43806,25 Jul 05,06 Aug 05,01 Aug 05,1,SO43806,NULL,16523,NULL,9,15755,1234620Vi81457,3578.27,286.2616,89.4568,3953.9884
43807,26 Jul 05,07 Aug 05,02 Aug 05,1,SO43807,NULL,11611,NULL,7,16891,1231127Vi87546,3578.27,286.2616,89.4568,3953.9884
43808,26 Jul 05,07 Aug 05,02 Aug 05,1,SO43808,NULL,13259,NULL,8,10353,932137Vi53430,3578.27,286.2616,89.4568,3953.9884
43809,26 Jul 05,07 Aug 05,02 Aug 05,1,SO43809,NULL,16350,NULL,9,14752,134601Vi76444,3578.27,286.2616,89.4568,3953.9884
43810,26 Jul 05,07 Aug 05,02 Aug 05,1,SO43810,NULL,11004,NULL,9,12777,835094Vi66068,3399.99,271.9992,84.9998,3756.989
43811,26 Jul 05,07 Aug 05,02 Aug 05,1,SO43811,NULL,11026,NULL,9,8888,1235105Vi45830,3399.99,271.9992,84.9998,3756.989
43812,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43812,NULL,27662,NULL,4,7442,930198Vi38606,3578.27,286.2616,89.4568,3953.9884
43813,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43813,NULL,28390,NULL,7,10022,431738Vi51601,3374.99,269.9992,84.3748,3729.364
43814,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43814,NULL,25866,NULL,1,1085,833258Vi5404,3374.99,269.9992,84.3748,3729.364
43815,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43815,NULL,16494,NULL,9,12070,734608Vi62400,3578.27,286.2616,89.4568,3953.9884
43816,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43816,NULL,16496,NULL,9,14211,734610Vi73710,3578.27,286.2616,89.4568,3953.9884
43817,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43817,NULL,16519,NULL,9,10904,634616Vi56238,3578.27,286.2616,89.4568,3953.9884
43818,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43818,NULL,16528,NULL,9,13485,134625Vi69865,3578.27,286.2616,89.4568,3953.9884
43819,27 Jul 05,08 Aug 05,03 Aug 05,1,SO43819,NULL,11006,NULL,9,5054,935096Vi26471,3399.99,271.9992,84.9998,3756.989
43820,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43820,NULL,27651,NULL,4,12947,330197Vi66982,3578.27,286.2616,89.4568,3953.9884
43821,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43821,NULL,27663,NULL,4,6912,130199Vi35996,3578.27,286.2616,89.4568,3953.9884
43822,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43822,NULL,27669,NULL,4,17504,230204Vi90922,3578.27,286.2616,89.4568,3953.9884
43823,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43823,NULL,19942,NULL,10,7639,830400Vi39580,699.0982,55.9279,17.4775,772.5036
43824,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43824,NULL,14558,NULL,1,7138,1233794Vi37022,699.0982,55.9279,17.4775,772.5036
43825,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43825,NULL,16349,NULL,9,16730,934720Vi86677,3578.27,286.2616,89.4568,3953.9884
43826,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43826,NULL,11008,NULL,9,13554,835098Vi70239,3374.99,269.9992,84.3748,3729.364
43827,28 Jul 05,09 Aug 05,04 Aug 05,1,SO43827,NULL,25250,NULL,9,7542,335426Vi39058,699.0982,55.9279,17.4775,772.5036
43828,29 Jul 05,10 Aug 05,05 Aug 05,1,SO43828,NULL,27605,NULL,1,17303,1030292Vi89856,3578.27,286.2616,89.4568,3953.9884
43829,29 Jul 05,10 Aug 05,05 Aug 05,1,SO43829,NULL,27611,NULL,4,3742,1030294Vi19725,3578.27,286.2616,89.4568,3953.9884
43830,29 Jul 05,10 Aug 05,05 Aug 05,1,SO43830,NULL,16347,NULL,9,11691,934718Vi60484,3578.27,286.2616,89.4568,3953.9884
43831,29 Jul 05,10 Aug 05,05 Aug 05,1,SO43831,NULL,11028,NULL,9,3749,835107Vi19779,3374.99,269.9992,84.3748,3729.364
